Site,Species,Worm,Deer,Dry.Year.gm2,Standard.exchange.P.20,Standard.Total.P.20,SoilN.20Pool,P.Exch.Conc  ,P.Total.Conc  ,SoilN,Height,Dry.mass.above,Survival,L.4.L,Arbuscules,Vesicles,Coil,DSE,DSE.binomial,All.Mycorhizae,Arb.Ves
YB,Prenanthes,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,5,,0,,,,,,,,   
YB,Prenanthes,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,8.2,,0,,,,,,,,   
YB,Prenanthes,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,10.8,,0,,,,,,,,   
YB,Prenanthes,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,4.8,,0,,,,,,,,   
YB,Prenanthes,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,9.3,,0,,,,,,,,   
YB,Prenanthes,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,13.8,,0,,,,,,,,   
YB,Prenanthes,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,8,0.08,0.25,0.642517594,1,15,22,10,10,23,0.61
YB,Prenanthes,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,10.8,,0.25,,,,,,,,   
YB,Prenanthes,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,8.5,,0.25,,,,,,,,   
YB,Prenanthes,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,8.7,,0.25,,,,,,,,   
BOBO,Quercus,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,10,0.86,0.6,0.429952129,0,8,17,0,0,17,0.68
BOBO,Quercus,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,7.5,1.08,0.6,0.4790162,0,9,14,0,0,14,0.61
BOBO,Quercus,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,7.6,0.48,0.6,0.404361425,0,1,3,0,0,3,0.75
BOBO,Quercus,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,10.9,,0.6,,,,,,,,   
BOBO,Quercus,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,6.5,,0.6,,,,,,,,   
BOBO,Quercus,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,6.5,0.68,0.4,0.363935874,0,9,5,0,0,5,0.36
BOBO,Quercus,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,6,0.53,0.4,0.548964676,0,0,2,0,0,2,1
BOBO,Quercus,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,10.7,,0.4,,,,,,,,   
